method,profile,queries,queries_with_hit,queries_top1_hit,mean_latency_ms,median_latency_ms,mean_precision_at_1,mean_precision_at_k,mean_recall_at_k,mean_hit_rate_at_k,mean_mrr,mean_ap_at_k,mean_r_precision,mean_ndcg_at_k,mean_first_relevant_rank,median_first_relevant_rank
bm25,english_e5,10,10,7,3.7077299784868956,3.5514000337570906,0.7,0.42,0.7833333333333333,1.0,0.7866666666666666,0.5938888888888889,0.5166666666666666,0.698201940816163,1.8,1.0
bm25,minilm,10,10,7,3.6599399987608194,3.3769000438041985,0.7,0.42,0.7833333333333333,1.0,0.7866666666666666,0.5938888888888889,0.5166666666666666,0.698201940816163,1.8,1.0
hybrid,english_e5,10,10,8,111.49531002156436,82.4411500361748,0.8,0.48,0.8833333333333333,1.0,0.9,0.7427777777777778,0.7166666666666667,0.8244485729989519,1.2,1.0
hybrid,minilm,10,10,10,84.9598899949342,50.01999996602535,1.0,0.54,1.0,1.0,1.0,0.9194444444444444,0.8166666666666667,0.9624202153385752,1,1.0
semantic,english_e5,10,9,4,510.6239700340666,73.5895000398159,0.4,0.34,0.6166666666666667,0.9,0.575,0.3744444444444444,0.31666666666666665,0.5079785525795003,2.111111111111111,2
semantic,minilm,10,10,9,533.446129981894,39.56659999676049,0.9,0.48,0.8666666666666667,1.0,0.9333333333333333,0.7805555555555556,0.65,0.8460978795628169,1.2,1.0
