method,description_style,relevant_pairs,unique_docs,hit_rate_at_k,top1_rate,mean_rank_when_hit,median_rank_when_hit
semantic,metadata_heavy,30,13,0.16666666666666666,0.1,2,1
semantic,mixed_structured,54,23,0.48148148148148145,0.14814814814814814,2.1923076923076925,2.0
semantic,narrative,66,26,0.7121212121212122,0.2727272727272727,2.2127659574468086,2
hybrid,metadata_heavy,30,13,0.2,0.1,2,2.0
hybrid,mixed_structured,54,23,0.5185185185185185,0.2777777777777778,1.8571428571428572,1.0
hybrid,narrative,66,26,0.7121212121212122,0.16666666666666666,2.4893617021276597,2
