method,length_bucket,relevant_pairs,unique_docs,hit_rate_at_k,top1_rate,mean_rank_when_hit,median_rank_when_hit
semantic,long,90,33,0.6444444444444445,0.24444444444444444,2.1206896551724137,2.0
semantic,medium,38,18,0.5789473684210527,0.23684210526315788,2.090909090909091,2.0
semantic,short,22,11,0.5454545454545454,0.22727272727272727,2.25,2.0
hybrid,long,90,33,0.7222222222222222,0.25555555555555554,2.3076923076923075,2
hybrid,medium,38,18,0.6578947368421053,0.2894736842105263,2.12,2
hybrid,short,22,11,0.5454545454545454,0.22727272727272727,2.25,2.0
