method,term_bucket,relevant_pairs,unique_docs,hit_rate_at_k,top1_rate,mean_rank_when_hit,median_rank_when_hit
semantic,term_moderate,47,21,0.2553191489361702,0.06382978723404255,2.75,3.0
semantic,term_rich,86,31,0.7674418604651163,0.3023255813953488,2.090909090909091,2.0
semantic,term_sparse,17,10,0.0,0.0,,
hybrid,term_moderate,47,21,0.2978723404255319,0.10638297872340426,2.5,3.0
hybrid,term_rich,86,31,0.7790697674418605,0.27906976744186046,2.1791044776119404,2
hybrid,term_sparse,17,10,0.0,0.0,,
