method,profile,queries,queries_with_hit,queries_top1_hit,mean_latency_ms,median_latency_ms,mean_precision_at_1,mean_precision_at_k,mean_recall_at_k,mean_hit_rate_at_k,mean_mrr,mean_ap_at_k,mean_r_precision,mean_ndcg_at_k,mean_first_relevant_rank,median_first_relevant_rank,direction
bm25,minilm,6,4,1,3.5466999979689717,3.6324999964563176,0.16666666666666666,0.16666666666666669,0.5833333333333334,0.6666666666666666,0.375,0.3472222222222222,0.3333333333333333,0.4184926281542009,2.25,2.0,huggingface_to_kaggle
hybrid,minilm,6,3,1,2918.4294333293415,2918.8891999947373,0.16666666666666666,0.1,0.3333333333333333,0.5,0.3055555555555556,0.2361111111111111,0.25,0.2822377339362118,2,2,huggingface_to_kaggle
semantic,minilm,6,3,1,2890.1468833355466,2755.6111000012606,0.16666666666666666,0.1,0.3333333333333333,0.5,0.2638888888888889,0.2152777777777778,0.16666666666666666,0.26177361982588665,2.6666666666666665,3,huggingface_to_kaggle
bm25,minilm,7,7,4,8.791499995693032,5.538400000659749,0.5714285714285714,0.2571428571428572,0.8333333333333334,1.0,0.719047619047619,0.6730158730158731,0.6190476190476191,0.7289666899074474,2,1,kaggle_to_huggingface
hybrid,minilm,7,0,0,3824.7153142874595,3331.026900006691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,kaggle_to_huggingface
semantic,minilm,7,0,0,4669.944799995782,3116.0667999938596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,kaggle_to_huggingface
