method,profile,queries,queries_with_hit,queries_top1_hit,mean_latency_ms,median_latency_ms,mean_precision_at_1,mean_precision_at_k,mean_recall_at_k,mean_hit_rate_at_k,mean_mrr,mean_ap_at_k,mean_r_precision,mean_ndcg_at_k,mean_first_relevant_rank,median_first_relevant_rank
bm25,minilm,13,11,5,6.370823073666543,4.192799999145791,0.38461538461538464,0.2153846153846154,0.717948717948718,0.8461538461538461,0.5602564102564103,0.5226495726495727,0.48717948717948717,0.5856709690982568,2.090909090909091,2
hybrid,minilm,13,3,1,3406.4295230760204,3048.8675000087824,0.07692307692307693,0.046153846153846156,0.15384615384615385,0.23076923076923078,0.14102564102564102,0.10897435897435898,0.11538461538461539,0.13026356950902082,2,2
semantic,minilm,13,3,1,3848.499607691058,2786.630699993111,0.07692307692307693,0.046153846153846156,0.15384615384615385,0.23076923076923078,0.12179487179487179,0.09935897435897435,0.07692307692307693,0.12081859376579385,2.6666666666666665,3
