method,profile,queries,queries_with_hit,queries_top1_hit,mean_latency_ms,median_latency_ms,mean_precision_at_1,mean_precision_at_k,mean_recall_at_k,mean_hit_rate_at_k,mean_mrr,mean_ap_at_k,mean_r_precision,mean_ndcg_at_k,mean_first_relevant_rank,median_first_relevant_rank
bm25,english_e5,12,11,10,3.4897250297944993,3.29220003914088,0.8333333333333334,0.3666666666666667,0.48214285714285715,0.9166666666666666,0.8888888888888888,0.4451851851851852,0.5218253968253969,0.5703915050934474,1.5,1.0
bm25,minilm,12,11,10,3.2896666477123895,2.998999960254878,0.8333333333333334,0.3666666666666667,0.48214285714285715,0.9166666666666666,0.8888888888888888,0.4451851851851852,0.5218253968253969,0.5703915050934474,1.5,1.0
hybrid,english_e5,12,12,9,100.91972502414137,89.29675008403137,0.75,0.43333333333333335,0.5863095238095238,1.0,0.8402777777777778,0.5064814814814814,0.5307539682539683,0.6292560418105884,1.5,1.0
hybrid,minilm,12,12,10,68.69774168202032,39.789400005247444,0.8333333333333334,0.45,0.5982142857142857,1.0,0.8958333333333334,0.5468055555555555,0.5426587301587301,0.6674509975141735,1.3333333333333333,1.0
semantic,english_e5,12,12,7,415.37486666735884,82.61904999380931,0.5833333333333334,0.43333333333333335,0.5724206349206349,1.0,0.7916666666666666,0.4781944444444444,0.5148809523809523,0.6006839550262376,1.4166666666666667,1.0
semantic,minilm,12,12,10,455.89512500252266,43.58675004914403,0.8333333333333334,0.43333333333333335,0.5357142857142857,1.0,0.8958333333333334,0.5152777777777777,0.5218253968253969,0.6332807020453927,1.3333333333333333,1.0
