method,profile,queries,queries_with_hit,queries_top1_hit,mean_latency_ms,median_latency_ms,mean_precision_at_1,mean_precision_at_k,mean_recall_at_k,mean_hit_rate_at_k,mean_mrr,mean_ap_at_k,mean_r_precision,mean_ndcg_at_k,mean_first_relevant_rank,median_first_relevant_rank,category
hybrid,minilm_ft,2,2,2,161.80569998687133,161.80569998687133,1.0,0.8,0.8,1.0,1.0,0.8,0.8,0.8687949224876582,1,1.0,climate_variability
semantic,minilm_ft,2,2,2,165.98775004968047,165.98775004968047,1.0,0.8,0.8,1.0,1.0,0.755,0.8,0.8496074099254252,1,1.0,climate_variability
hybrid,minilm_ft,2,2,2,140.2585000032559,140.2585000032559,1.0,0.6,1.0,1.0,1.0,0.8916666666666666,0.6666666666666666,0.9571852065075719,1,1.0,hydrology
semantic,minilm_ft,2,2,2,130.61854999978095,130.61854999978095,1.0,0.6,1.0,1.0,1.0,0.9583333333333333,0.8333333333333333,0.9837339917445846,1,1.0,hydrology
hybrid,minilm_ft,2,2,2,147.3551499657333,147.3551499657333,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,ocean_climate
semantic,minilm_ft,2,2,2,125.20909996237606,125.20909996237606,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,ocean_climate
hybrid,minilm_ft,4,4,4,173.31375001231208,162.9353500320576,1.0,0.8500000000000001,0.7357142857142858,1.0,1.0,0.8500000000000001,0.8428571428571429,0.9015961918657437,1,1.0,weather_climate
semantic,minilm_ft,4,4,4,171.0367000196129,163.5674000135623,1.0,0.75,0.65,1.0,1.0,0.73,0.7571428571428571,0.8248461988617993,1,1.0,weather_climate
