method,profile,queries,queries_with_hit,queries_top1_hit,mean_latency_ms,median_latency_ms,mean_precision_at_1,mean_precision_at_k,mean_recall_at_k,mean_hit_rate_at_k,mean_mrr,mean_ap_at_k,mean_r_precision,mean_ndcg_at_k,mean_first_relevant_rank,median_first_relevant_rank,query_style
hybrid,minilm_ft,10,10,10,392.65092000132427,391.01190003566444,1.0,0.68,0.8742857142857143,1.0,1.0,0.8983333333333333,0.8361904761904762,0.9389550102965777,1,1.0,latent_intent
semantic,minilm_ft,10,10,10,882.4600900057703,287.5359000172466,1.0,0.62,0.8200000000000001,1.0,1.0,0.8223333333333334,0.7819047619047619,0.8921618508776928,1,1.0,latent_intent
