method,profile,queries,queries_with_hit,queries_top1_hit,mean_latency_ms,median_latency_ms,mean_precision_at_1,mean_precision_at_k,mean_recall_at_k,mean_hit_rate_at_k,mean_mrr,mean_ap_at_k,mean_r_precision,mean_ndcg_at_k,mean_first_relevant_rank,median_first_relevant_rank,category
hybrid,minilm_ft,2,2,2,398.58724997611716,398.58724997611716,1.0,0.8,0.8,1.0,1.0,0.8,0.8,0.8687949224876582,1,1.0,climate_variability
semantic,minilm_ft,2,2,2,287.55839995574206,287.55839995574206,1.0,0.8,0.8,1.0,1.0,0.76,0.8,0.8539316501572937,1,1.0,climate_variability
hybrid,minilm_ft,2,2,2,382.1326000033878,382.1326000033878,1.0,0.6,1.0,1.0,1.0,0.8916666666666666,0.6666666666666666,0.9571852065075719,1,1.0,hydrology
semantic,minilm_ft,2,2,2,279.68500001588836,279.68500001588836,1.0,0.6,1.0,1.0,1.0,0.8916666666666666,0.6666666666666666,0.9571852065075719,1,1.0,hydrology
hybrid,minilm_ft,2,2,2,390.94604999991134,390.94604999991134,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,ocean_climate
semantic,minilm_ft,2,2,2,254.30954998591915,254.30954998591915,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,ocean_climate
hybrid,minilm_ft,4,4,4,395.7943500136025,400.7446999894455,1.0,0.9,0.7857142857142857,1.0,1.0,0.9,0.8571428571428572,0.934397461243829,1,1.0,weather_climate
semantic,minilm_ft,4,4,4,1795.373750035651,308.59395005973056,1.0,0.75,0.65,1.0,1.0,0.73,0.7214285714285714,0.8248461988617993,1,1.0,weather_climate
