method,profile,queries,queries_with_hit,queries_top1_hit,mean_latency_ms,median_latency_ms,mean_precision_at_1,mean_precision_at_k,mean_recall_at_k,mean_hit_rate_at_k,mean_mrr,mean_ap_at_k,mean_r_precision,mean_ndcg_at_k,mean_first_relevant_rank,median_first_relevant_rank
hybrid,minilm,59,42,33,1072.1555593210446,378.5181999846827,0.559322033898305,0.3220338983050847,0.4826472962066182,0.711864406779661,0.6206214689265537,0.433879472693032,0.4344229217110573,0.5025724762336349,1.380952380952381,1.0
hybrid,multilingual,59,44,34,1167.9370796605865,476.33909998694435,0.576271186440678,0.31186440677966104,0.49354317998385794,0.7457627118644068,0.6454802259887006,0.4453295668549906,0.45177562550443906,0.5123530813918526,1.3636363636363635,1.0
semantic,minilm,59,41,34,1080.5764999995363,274.8401999997441,0.576271186440678,0.31186440677966104,0.4628732849071832,0.6949152542372882,0.617231638418079,0.4259180790960452,0.41444713478611783,0.49151207569069,1.3658536585365855,1
semantic,multilingual,59,44,31,1028.7062864394472,360.7499999925494,0.5254237288135594,0.3152542372881356,0.49596448748991123,0.7457627118644068,0.6129943502824858,0.42354048964218455,0.39426957223567394,0.4972586300018023,1.5,1.0
