method,profile,queries,queries_with_hit,queries_top1_hit,mean_latency_ms,median_latency_ms,mean_precision_at_1,mean_precision_at_k,mean_recall_at_k,mean_hit_rate_at_k,mean_mrr,mean_ap_at_k,mean_r_precision,mean_ndcg_at_k,mean_first_relevant_rank,median_first_relevant_rank,language
hybrid,minilm,47,35,29,1249.2944234022325,382.0367000007536,0.6170212765957447,0.3446808510638298,0.5217831813576495,0.7446808510638298,0.6737588652482269,0.47965721040189124,0.48353596757852074,0.5484247693359141,1.2285714285714286,1,en
semantic,minilm,47,35,29,1281.5792574460538,277.5645999936387,0.6170212765957447,0.33191489361702126,0.5040526849037488,0.7446808510638298,0.6631205673758865,0.46328014184397165,0.450354609929078,0.5321791015007057,1.3428571428571427,1,en
hybrid,multilingual,47,36,29,1359.1662851048316,482.78980000759475,0.6170212765957447,0.32340425531914896,0.5253292806484295,0.7659574468085106,0.6790780141843972,0.4794917257683215,0.4769503546099291,0.5449835288121511,1.3055555555555556,1.0,en
semantic,multilingual,47,36,27,1211.0525595737581,368.6812999949325,0.574468085106383,0.3148936170212766,0.5129179331306991,0.7659574468085106,0.648936170212766,0.44281323877068557,0.4136271529888551,0.5175966558048429,1.4444444444444444,1.0,en
hybrid,minilm,12,7,4,378.36167500305845,323.5563500056742,0.3333333333333333,0.23333333333333334,0.32936507936507936,0.5833333333333334,0.4125,0.25458333333333333,0.24206349206349206,0.3229843282497078,2.142857142857143,1,tr
semantic,minilm,12,6,5,293.31570000067586,246.3312999898335,0.4166666666666667,0.23333333333333334,0.30158730158730157,0.5,0.4375,0.27958333333333335,0.27380952380952384,0.33223289126812855,1.5,1.0,tr
hybrid,multilingual,12,8,5,418.95602500396006,379.974850002327,0.4166666666666667,0.26666666666666666,0.36904761904761907,0.6666666666666666,0.5138888888888888,0.3115277777777778,0.35317460317460314,0.38455049566235067,1.625,1.0,tr
semantic,multilingual,12,8,4,314.5167166633958,288.0693000042811,0.3333333333333333,0.31666666666666665,0.42956349206349204,0.6666666666666666,0.4722222222222222,0.34805555555555556,0.31845238095238093,0.41760136227322675,1.75,1.5,tr
