method,profile,queries,queries_with_hit,queries_top1_hit,mean_latency_ms,median_latency_ms,mean_precision_at_1,mean_precision_at_k,mean_recall_at_k,mean_hit_rate_at_k,mean_mrr,mean_ap_at_k,mean_r_precision,mean_ndcg_at_k,mean_first_relevant_rank,median_first_relevant_rank
bm25,minilm,34,34,25,1.5094176487764344,1.4072000049054623,0.7352941176470589,0.45882352941176474,0.6593137254901961,1.0,0.8490196078431372,0.5976307189542484,0.615546218487395,0.6889300656190555,1.411764705882353,1.0
hybrid,minilm,34,32,28,340.0048617639935,344.23984999011736,0.8235294117647058,0.4588235294117647,0.6624649859943977,0.9411764705882353,0.8774509803921569,0.6213888888888889,0.6242997198879552,0.7083099339756086,1.15625,1.0
semantic,minilm,34,32,28,289.556623527246,279.55044999544043,0.8235294117647058,0.4411764705882353,0.6379551820728291,0.9411764705882353,0.8700980392156863,0.6024264705882353,0.5931372549019608,0.6894640015169955,1.21875,1.0
