method,profile,queries,queries_with_hit,queries_top1_hit,mean_latency_ms,median_latency_ms,mean_precision_at_1,mean_precision_at_k,mean_recall_at_k,mean_hit_rate_at_k,mean_mrr,mean_ap_at_k,mean_r_precision,mean_ndcg_at_k,mean_first_relevant_rank,median_first_relevant_rank,query_style
bm25,minilm,12,12,6,1.0910333367064595,1.0937000042758882,0.5,0.48333333333333334,0.5892857142857143,1.0,0.7361111111111112,0.49921296296296297,0.5873015873015873,0.608231357480473,1.5833333333333333,1.5,keyword
hybrid,minilm,12,11,9,284.8278583308759,282.41305000847206,0.75,0.43333333333333335,0.5357142857142857,0.9166666666666666,0.8333333333333334,0.4896990740740741,0.5128968253968254,0.6059899593538816,1.1818181818181819,1,keyword
semantic,minilm,12,11,10,314.18991666820756,274.9669500190066,0.8333333333333334,0.3833333333333333,0.4801587301587302,0.9166666666666666,0.8541666666666666,0.47215277777777775,0.47817460317460314,0.5794061065165141,1.2727272727272727,1,keyword
bm25,minilm,22,22,19,1.7376272735418752,1.7006999987643212,0.8636363636363636,0.44545454545454544,0.6975108225108225,1.0,0.9106060606060606,0.6513131313131313,0.6309523809523809,0.732947542785555,1.3181818181818181,1.0,sentence
hybrid,minilm,22,21,19,370.1014090911485,383.5070499917492,0.8636363636363636,0.4727272727272727,0.7316017316017316,0.9545454545454546,0.9015151515151515,0.693219696969697,0.685064935064935,0.7641208292238234,1.1428571428571428,1,sentence
semantic,minilm,22,21,18,276.1202818139943,284.70405000553,0.8181818181818182,0.4727272727272727,0.724025974025974,0.9545454545454546,0.8787878787878788,0.6734848484848485,0.6558441558441558,0.7494955806081671,1.1904761904761905,1,sentence
