method,profile,queries,queries_with_hit,queries_top1_hit,mean_latency_ms,median_latency_ms,mean_precision_at_1,mean_precision_at_k,mean_recall_at_k,mean_hit_rate_at_k,mean_mrr,mean_ap_at_k,mean_r_precision,mean_ndcg_at_k,mean_first_relevant_rank,median_first_relevant_rank,query_style
hybrid,minilm_ft,10,10,10,31.737650011200458,32.047250017058104,1.0,0.66,0.8485714285714285,1.0,1.0,0.8876666666666667,0.8438095238095238,0.9296579323597096,1,1.0,latent_intent
semantic,minilm_ft,10,10,10,31.691790011245757,29.1500500170514,1.0,0.5800000000000001,0.7666666666666667,1.0,1.0,0.7723333333333333,0.7476190476190476,0.8546984860808666,1,1.0,latent_intent
