method,profile,queries,queries_with_hit,queries_top1_hit,mean_latency_ms,median_latency_ms,mean_precision_at_1,mean_precision_at_k,mean_recall_at_k,mean_hit_rate_at_k,mean_mrr,mean_ap_at_k,mean_r_precision,mean_ndcg_at_k,mean_first_relevant_rank,median_first_relevant_rank,category
hybrid,minilm_ft,2,2,2,31.89599997131154,31.89599997131154,1.0,0.8,0.8,1.0,1.0,0.8,0.8,0.8687949224876582,1,1.0,climate_variability
semantic,minilm_ft,2,2,2,28.912400011904538,28.912400011904538,1.0,0.8,0.8,1.0,1.0,0.71,0.8,0.830419897363192,1,1.0,climate_variability
hybrid,minilm_ft,2,2,2,29.567500052507967,29.567500052507967,1.0,0.6,1.0,1.0,1.0,0.9583333333333333,0.8333333333333333,0.9837339917445846,1,1.0,hydrology
semantic,minilm_ft,2,2,2,27.055100072175264,27.055100072175264,1.0,0.5,0.8333333333333333,1.0,1.0,0.7916666666666666,0.6666666666666666,0.8664143102388955,1,1.0,hydrology
hybrid,minilm_ft,2,2,2,34.341300022788346,34.341300022788346,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,ocean_climate
semantic,minilm_ft,2,2,2,31.88944997964427,31.88944997964427,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,ocean_climate
hybrid,minilm_ft,4,4,4,31.44172500469722,31.86909999931231,1.0,0.8500000000000001,0.7214285714285714,1.0,1.0,0.8400000000000001,0.7928571428571429,0.8978803737831526,1,1.0,weather_climate
semantic,minilm_ft,4,4,4,35.30099999625236,31.605849973857403,1.0,0.7,0.6,1.0,1.0,0.6799999999999999,0.6357142857142857,0.7883291114011228,1,1.0,weather_climate
