method,profile,queries,queries_with_hit,queries_top1_hit,mean_latency_ms,median_latency_ms,mean_precision_at_1,mean_precision_at_k,mean_recall_at_k,mean_hit_rate_at_k,mean_mrr,mean_ap_at_k,mean_r_precision,mean_ndcg_at_k,mean_first_relevant_rank,median_first_relevant_rank
hybrid,minilm_ft,10,10,10,375.9266700129956,381.02734996937215,1.0,0.68,0.8742857142857143,1.0,1.0,0.8983333333333333,0.8361904761904762,0.9389550102965777,1,1.0
semantic,minilm_ft,10,10,10,848.7999499891885,269.1037500044331,1.0,0.62,0.8200000000000001,1.0,1.0,0.8273333333333334,0.7819047619047619,0.8942184062740124,1,1.0
